"custkey","first_name","last_name","street","city","state","postcode","country","phone","dob","gender","married","ssn","paycheck_dd","estimated_income","fico","registration_date"
"1000026","Kevin","Massey","50870 Hester Flat","West Aprilberg","AB","A8R 2G6","CA","+1-983-473-5935x03484","1970-04-19","F","Y","304-72-5159","N","520322.16","832","1997-08-21"
"1000027","Jill","Wu","338 Collin Crescent Apt. 328","Lake Jonathan","PE","Y9N8V6","CA","523-374-9041x71861","1959-04-09","F","Y","107-08-7445","N","71618.52","403","1983-04-09"
"1000028","Walter","Miller","2574 Bobby Ranch","Lawrenceview","TN","02140","US","601-007-4442x3489","1982-02-27","M","N","801-36-3082","Y","39343.6","362","1976-08-20"
"1000029","James","Jones","550 Chavez Mountain","Port Leon","NB","B6X7M1","CA","+1-712-565-9877x7025","1939-09-04","F","Y","035-77-1625","N","64768.54","327","1965-07-14"
"1000030","Kenneth","Smith","774 Anthony Dale Suite 397","Sandraton","ON","B9G8V2","CA","(758)368-3670","1936-09-17","F","Y","572-34-5993","N","164332.89","517","1935-10-04"
"1000031","Kathleen","Frazier","922 Christopher Summit Suite 114","Clarkside","MB","A5M7M2","CA","211-999-7637x8765","1989-04-05","F","Y","895-51-8298","N","60916.98","305","1945-12-08"
"1000032","Kathleen","Bruce","609 Anderson Ridge Apt. 136","Lake Jenniferstad","NY","85522","US","001-911-310-0587x8522","1938-03-17","M","N","696-64-2282","N","57279.87","352","2000-01-31"
"1000033","Vanessa","Jackson","0950 William Lane Apt. 959","South Carlmouth","ND","39836","US","(649)089-2863x143","1921-09-26","M","N","505-75-6143","Y","87589.38","399","1996-02-09"
"1000034","Victor","Anderson","751 Hamilton Cape","Scotthaven","NH","75458","US","001-505-308-7085x99123","2000-05-02","M","N","890-85-4959","N","48272.96","470","2004-11-02"
"1000035","Clinton","Cole","055 Bray Forest Suite 568","East Jonathanburgh","BC","C6A2G6","CA","4074976314","1941-12-12","F","Y","017-81-9164","N","30586.58","364","1969-11-03"
"1000036","Mark","Henson","43152 Dunn Cove","West Jacksonmouth","NT","K4Y 2B9","CA","001-053-275-2501x41001","1995-02-01","F","Y","777-74-0012","N","325419.26","778","1951-06-24"
"1000037","George","Oliver","7806 Brittany Key","Port Heather","GA","18031","US","+1-569-137-0262x197","1948-06-24","M","N","508-47-7000","Y","88173.76","490","1961-12-08"
"1000038","Erin","Perez","415 Carter Viaduct","Justinburgh","NS","B6A5P5","CA","308.083.1276x2645","1983-07-04","F","Y","337-92-4370","N","38081.4","394","2012-12-25"
"1000039","Timothy","Martin","0560 Tina Lakes Suite 203","Parsonsport","KY","33298","US","591-002-4954x629","2001-10-11","M","N","316-84-0866","Y","266568.81","758","2010-10-27"
"1000040","Kathryn","Green","5610 Wright Fall","Harrisview","AA","09402","US","564.604.5268x287","1929-06-04","M","N","064-92-1311","N","107039.25","491","1990-02-25"
"1000041","Matthew","Lang","6148 Susan Via Apt. 925","Turnerport","MB","J1N 9N4","CA","075.975.2937x0406","1926-12-13","F","Y","750-41-9305","N","234102.99","661","1948-06-26"
"1000042","Jonathan","Cuevas","330 Cowan Squares","Port Joyport","AE","78163","US","(675)412-3247x504","1996-08-19","M","N","068-31-9911","Y","96804.43","570","1999-09-27"
"1000043","Michael","Livingston","748 Keith Groves Suite 358","North Andrew","NT","J6E4B1","CA","+1-243-148-2372x5404","1999-11-20","F","Y","238-50-9953","N","139295.88","577","1985-08-29"
"1000044","Andrew","Johnson","2571 Smith Circle","Rojasfort","MB","J3B5A3","CA","(557)327-0909x37866","1985-01-15","F","Y","703-20-6683","N","386037.03","773","2006-08-19"
"1000045","David","Flores","35375 Diana Drives","Amandatown","NC","38807","US","+1-847-293-7670x81880","1968-04-19","M","N","485-54-5611","N","524855.87","838","1991-04-04"
"1000046","Sabrina","Chapman","700 Farrell Route Suite 750","North Rachel","DE","91679","US","877.977.5138x60082","1986-03-13","M","N","362-29-5201","Y","128864.32","472","1952-09-01"
"1000047","Melissa","Lynch","3394 Marvin Club","New Brittany","AB","R9C2J6","CA","001-912-833-6049x6238","1973-06-11","F","Y","281-93-9404","N","80032.72","473","2017-02-24"
"1000048","Cassandra","Rogers","3644 Aaron Stream Suite 256","New Lee","NB","X2M1E8","CA","6738402535","1981-06-01","F","Y","768-23-0218","N","469291.05","834","1950-11-29"
"1000049","Jack","Marshall","3765 Elizabeth Junctions Apt. 500","North Roger","IL","80169","US","001-662-033-3700x1442","1979-12-22","M","N","565-96-5685","N","49870.55","306","1972-12-14"
"1000050","Jerry","Freeman","6940 Mary Ridges","Port William","AP","71461","US","766-360-2354x469","1975-03-21","M","N","494-29-0654","N","281257.17","756","2011-02-09"
"1000051","Charles","Novak","490 Reeves Shores Apt. 556","Port Daniel","NT","L4E2M5","CA","529.664.5265x658","1983-07-24","F","Y","495-33-9313","N","168954.59","666","1948-07-27"
"1000052","Eugene","Bradley","20331 Kevin Mews Apt. 619","Caitlyntown","MD","76799","US","552.231.9889x3876","1925-07-25","M","N","383-18-4171","N","414614.42","720","1989-09-24"
"1000053","Marc","Navarro","7709 Robert Ville Apt. 778","Nolanview","MS","91731","US","371.453.2059","1943-04-05","M","N","842-92-7934","N","330280.77","804","1959-05-11"
"1000054","Zachary","Mcintyre","1819 Wiley Shore Suite 402","North Shawn","AZ","67575","US","757.837.5201x287","1944-02-14","M","N","079-06-5177","N","38004.42","324","1971-09-18"
"1000055","Charles","Thomas","74999 Ward Key","Powellstad","MT","26066","US","(535)787-4267x42207","1985-06-27","M","N","550-83-8903","N","162279.82","540","1965-11-14"
"1000056","Theresa","Hartman","844 Allison Underpass Apt. 043","Staciefurt","ON","T3R 1H7","CA","939.429.5066","1947-12-06","F","Y","656-61-2561","N","34973.88","363","1973-03-25"
"1000057","Randall","Martin","99904 Sarah Walks","North Mario","NU","V7M 9K7","CA","622.818.0390","1966-12-14","F","Y","464-03-3624","N","72418.66","430","1973-12-19"
"1000058","Kathleen","Castro","72250 Heather Circle Suite 410","Parkerview","AR","56641","US","001-717-508-2692x2641","1933-10-27","M","N","579-99-2695","N","192495.61","546","1957-03-02"
"1000059","Derrick","Moran","90520 Snyder Fort Suite 603","Tranport","NL","C3Y5L8","CA","830.223.2632x585","1985-10-10","F","Y","711-72-2684","N","106192.14","471","1973-06-12"
"1000060","Cynthia","Evans","431 Lauren Fords Suite 102","Jameston","NV","65014","US","+1-185-820-6964x1808","1983-02-28","M","N","283-32-0281","N","46121.01","370","1966-02-19"
"1000061","Mallory","Glenn","809 Melinda Course","New Johnbury","MI","02399","US","+1-025-466-5205","1974-08-31","M","N","342-30-7325","N","378935.19","701","1996-10-13"
"1000062","Melissa","Jones","35648 Adams Mills","Cochranton","NS","V7S 6C6","CA","+1-537-884-9943","1957-07-03","F","Y","089-79-5985","N","295977.26","624","1974-08-18"
"1000063","Sabrina","Maynard","59502 Marie Shore","New Staceytown","LA","06477","US","001-784-652-6584x642","1926-06-11","M","N","405-93-3309","N","448017.75","813","1953-12-02"
"1000064","Michelle","Melendez","48772 Rosales Street Apt. 872","Port Edwardborough","ON","N4A4A6","CA","056.619.2106x0826","1969-03-15","F","Y","799-71-1448","N","335855.93","712","1985-06-07"
"1000065","Richard","Nielsen","357 Melissa Junction","Lake Danielton","VA","21029","US","772.483.8699x825","1989-11-17","M","N","654-53-8690","Y","231369.6","666","1933-05-18"
"1000066","Patricia","Duncan","57956 Perry Rest","Robinshire","OH","13379","US","890.698.4531","1966-03-02","M","N","555-73-7084","N","54425.66","300","1950-11-08"
"1000067","Jennifer","Burns","61452 Charles Heights Apt. 443","Lake Troyshire","YT","K4J3H6","CA","603-808-2071x854","1934-12-26","F","Y","699-97-2980","N","69487.93","433","1932-08-06"
"1000068","Matthew","Morrison","6372 Carl Ferry","Elizabethfort","YT","A2A6L2","CA","(115)864-5765x322","1960-11-02","U","U","109-77-9620","N","71901.66","570","2018-05-29"
"1000069","Keith","Smith","514 Victoria Ville Suite 101","Nelsonhaven","WY","96188","US","032-352-9090x192","1920-12-05","M","N","717-86-8628","Y","61829.49","418","1963-08-11"
"1000070","Kayla","Nixon","9131 Devin Spur","Nicoleton","OK","57864","US","936-942-8450x653","1959-05-31","M","N","398-81-7836","Y","49421.64","325","2004-08-20"
"1000071","Regina","Jones","66694 Randy Forge Suite 947","Mcleanstad","UT","44764","US","662.128.2512","1985-04-18","M","N","747-67-2331","Y","185658.92","555","1969-01-29"
"1000072","Sean","Hernandez","836 Johnson Shoal Apt. 096","Mitchellfort","NL","E1X7V2","CA","(585)698-2890","1970-04-20","F","Y","022-41-4776","N","90879.96","473","1935-12-27"
"1000073","Betty","Thomas","38519 Debbie Roads","Port Andrea","NB","C8R 2A8","CA","+1-073-391-3765x243","1958-04-07","F","Y","038-50-1785","N","433890.15","706","2007-08-22"
"1000074","Lori","Myers","27797 Richardson Village","South Teresatown","CT","09874","US","476.687.2193x735","1992-07-15","M","N","133-97-9362","Y","219749.96","601","1950-06-15"
"1000075","April","Cantrell","1588 Wilkins Corner","New Kevinberg","NU","B6X 7P5","CA","+1-289-625-4747x66948","1991-04-22","F","Y","295-02-0480","N","493160.31","802","1961-11-05"
"1000076","John","Sawyer","442 Lisa Highway","New Frankview","PE","L4G 9E4","CA","001-332-284-3373x18601","1948-02-19","F","Y","488-20-2015","N","55244.08","480","1989-04-13"
"1000077","Cindy","Smith","5158 Morris Mews","Port Brendaberg","NL","V3G 2N1","CA","144-939-9975x97685","1982-02-23","F","Y","231-31-8782","N","308132.85","650","2005-09-04"
"1000078","Jason","Duncan","94516 Crawford Stravenue","Cartertown","AK","05844","US","209.537.1783","1933-07-11","M","N","621-24-2830","Y","395895.07","777","2009-03-13"
"1000079","Cynthia","Rodriguez","911 Gerald Wells","Jacobsonhaven","NS","C9H3N1","CA","(490)175-7979x3850","1994-07-13","F","Y","859-17-1196","N","66661.08","422","1972-01-16"
"1000080","Sydney","Jensen","16016 Luna Walk Suite 493","Kelliport","WV","05839","US","201-340-4371","1989-01-26","F","Y","302-12-8069","N","206924.66","683","1978-10-17"
"1000081","Raven","Scott","4488 Keller Point Apt. 418","New Rhonda","YT","A3A 9L4","CA","026.963.2338x688","1962-05-20","F","Y","564-44-4303","N","67544.73","320","1970-10-29"
"1000082","Aaron","Adkins","0181 Steven Field Apt. 109","Williamsmouth","KS","09031","US","3043516152","1995-07-13","M","N","080-26-5598","Y","254851.98","653","2018-06-28"
"1000083","Cody","Harris","8396 Cooper Mill","Davidsonburgh","NY","82458","US","001-494-978-8375","1990-01-24","M","N","689-58-4480","N","66521.14","492","1954-09-23"
"1000084","Amber","Jenkins","4065 Emily Isle Suite 899","Port Danielleside","LA","68068","US","896-980-0813x247","1951-08-22","M","N","218-90-3005","N","248976.28","621","2007-05-12"
"1000085","Jennifer","Brown","797 Riley Plains Apt. 295","Jamesside","YT","X8Y 7E3","CA","+1-535-459-0291x10674","1986-03-22","F","Y","388-30-3079","N","145810.68","411","1932-12-06"
"1000086","Diana","Phillips","307 Edward Square Apt. 566","Roseburgh","NE","40788","US","(541)825-0455","1929-01-15","M","N","327-16-1841","N","292125.14","618","1983-08-09"
"1000087","Cody","Smith","28499 Rachel Burg","Townsendchester","PE","T9K6X8","CA","531-886-4239x2758","1945-06-05","F","Y","760-80-7179","N","402766.23","783","1976-01-13"
"1000088","David","Pennington","4905 Trujillo Terrace Suite 803","South Cody","BC","L2A3G9","CA","209.345.5384x378","1926-09-25","F","Y","454-01-5587","N","42412.98","341","2004-09-28"
"1000089","Christopher","Rivera","503 Keller Expressway","Phamberg","PE","K4R2G4","CA","001-256-411-9092","1947-04-16","F","Y","067-37-3892","N","34400.74","399","1967-10-24"
"1000090","Jose","Hall","2382 Janice Glens","Port Megan","WV","38511","US","001-099-000-4985x5096","2000-05-10","M","N","651-33-0299","Y","63916.4","307","1971-12-09"
"1000091","Lisa","Wright","459 Kelly Mountain","Wyattbury","NT","H8E 4S7","CA","502-074-0456x97125","1929-12-06","F","Y","267-07-3568","N","389288.58","761","1975-08-01"
"1000092","Stacey","Day","46312 Scott Freeway","New Robertshire","PE","H2G 4X7","CA","378-222-2694x105","1922-06-30","F","Y","034-29-5857","N","38704.07","381","2018-03-24"
"1000093","Roger","Brown","829 Adams Heights Apt. 422","Garzaview","OK","98618","US","001-435-047-3848x86949","1934-12-03","M","N","565-90-7902","N","63492.63","416","2004-09-13"
"1000094","Crystal","Kennedy","20209 Chapman Port Apt. 363","North Johnathan","NB","R5T 9K4","CA","+1-638-049-9888x208","1967-05-18","F","Y","021-97-4228","N","502585.15","830","1985-08-29"
"1000095","Erica","Ruiz","59950 Johnston Viaduct Suite 554","Kristenfurt","RI","08096","US","(688)201-0897x27764","1922-05-26","M","N","439-77-5264","Y","188055.84","574","2018-02-24"
"1000096","Rachel","Randall","148 Ward Forest Suite 698","West Ronaldside","NU","V4V 7T4","CA","+1-226-060-3059","1925-10-02","F","Y","723-48-4561","N","122565.97","446","1933-07-11"
"1000097","Melissa","Pearson","1636 Jacob Harbor Suite 928","Katherinestad","AA","92253","US","904.428.4572x1781","2001-03-18","M","N","567-74-0944","N","185363.46","542","1978-10-20"
"1000098","Amy","Rodriguez","194 Jones Flats","Juliaport","NM","25268","US","001-394-666-1012x015","1992-01-18","M","N","035-23-9386","Y","68730.45","328","1936-06-08"
"1000099","James","Burgess","3680 Pamela Crescent","Edwardsmouth","QC","H7H 7B1","CA","705-843-6138","1930-06-05","F","Y","556-71-9002","N","179594.08","646","1936-11-17"
"1000100","Zachary","Rodriguez","6785 Parsons Mountain Apt. 434","Andrewview","QC","H4M 9A1","CA","001-626-734-8398x913","1931-05-10","F","Y","801-32-9705","N","128415.25","572","2012-01-10"
"1000101","John","Meyer","4907 Denise Ridges Suite 413","Kaylatown","WY","65078","US","5147821923","1975-10-30","M","N","107-95-3534","Y","107614.69","549","1956-04-04"
"1000102","Jasmine","Lewis","449 Yang Cape Apt. 663","Olsenfort","MA","34972","US","(273)139-8113x37678","1951-08-30","M","N","265-96-3360","N","46541.64","446","1940-05-25"
"1000103","Paige","Massey","356 Taylor Burg Apt. 446","Simpsonbury","ME","51762","US","+1-824-573-8683x140","1983-04-08","M","N","595-72-9829","Y","197209.95","601","1984-09-13"
"1000104","Kimberly","Cooper","090 Paul Passage Apt. 020","West George","AB","C2R 2G9","CA","001-594-742-9120x09058","1976-04-10","F","Y","496-33-6244","N","163891.08","532","2001-08-14"
"1000105","James","Mccoy","90224 Smith Hill Apt. 178","Thomasfurt","QC","V9H 3X7","CA","623.090.1200","1970-03-28","F","Y","289-20-9411","N","444743.85","842","1958-11-14"
"1000106","Katherine","Moore","388 Rivera Path Apt. 089","Greenview","MD","38672","US","492.833.2070","2003-01-19","M","N","367-46-4781","Y","310976.72","742","1977-11-07"
"1000107","Ellen","Bishop","53682 Higgins Underpass Apt. 997","South Stacyside","AZ","55020","US","811-189-9089x919","1942-06-23","M","N","266-39-7148","N","160226.16","629","1938-04-13"
"1000108","Diane","Clark","969 Sweeney Brook Suite 997","North Kathryn","PE","A9S7E2","CA","001-410-419-8289","1932-06-04","F","Y","081-97-9094","N","117698.93","489","1994-05-05"
"1000109","Cheryl","Smith","481 Daniel Hill","Danaborough","MB","X3P2T2","CA","053.457.0786x14237","1997-09-25","F","Y","269-48-0897","N","372222.08","756","1971-01-19"
"1000110","Bridget","Weber","74925 Combs Vista","Port Diamondview","OH","11062","US","144-939-0679x5561","1988-07-01","M","N","115-27-8461","Y","446351.84","726","1953-04-08"
"1000111","Tony","Jones","24251 Mary Pass","Port Jamesfurt","ON","N8B6X4","CA","+1-785-779-9611x52637","1941-08-28","F","Y","028-39-1514","N","66712.62","471","1990-10-16"
"1000112","Carl","Mckinney","91531 James Drive","Davidchester","NT","K9K 3H6","CA","001-971-111-2344x520","1922-08-25","F","Y","767-54-2066","N","444529.11","807","2008-12-27"
"1000113","Evan","Foster","33767 Padilla Mews Apt. 416","Smithhaven","QC","Y3S4E5","CA","001-348-614-8030x943","1921-04-29","F","Y","596-61-2743","N","150242.32","529","1964-10-05"
"1000114","Doris","Fritz","6067 Martin Park Apt. 922","Martinezton","AB","S5E8T6","CA","3452668921","2001-04-11","F","Y","244-91-0286","N","111714.11","586","1983-09-24"
"1000115","Kevin","Oneal","87226 Brown Roads Suite 195","Port Shirley","NV","43928","US","250-283-0796x9056","1931-07-10","M","N","133-49-6386","N","233218.18","635","1965-11-06"
"1000116","Thomas","Fox","221 Kimberly Stream","Bettychester","OK","89893","US","(009)341-9186","1934-08-09","M","N","753-06-2684","N","181909.27","679","1984-08-07"
"1000117","Renee","Hernandez","914 Cody Ramp","Virginiaside","SC","76107","US","(061)880-5087x04315","1970-12-06","M","N","571-70-0944","N","416088.67","789","1986-12-28"
"1000118","Willie","Mack","04176 Stone Plains","Timothyberg","WY","00871","US","302-608-7814x23174","1963-12-15","M","N","342-96-1626","N","211298.41","575","1970-01-07"
"1000119","Amanda","Howard","6703 Miller Throughway","New Meagan","BC","P5C 5R8","CA","001-363-046-4727","1933-12-17","F","Y","066-51-6250","N","199280.83","591","1941-10-07"
"1000120","David","Tyler","4793 Smith Isle Suite 181","Lake Sabrina","BC","C5M 5B8","CA","001-845-412-4893x31079","1944-04-06","F","Y","728-29-0041","N","326738.33","771","2002-10-23"
"1000121","Jennifer","Compton","41231 Harris Crest","North Jose","IL","19808","US","903-413-0575x9023","1954-01-30","M","N","410-81-2248","N","363376.44","728","1968-12-15"
"1000122","Lisa","Taylor","11575 Carey Prairie","Brownhaven","SK","B2C4A9","CA","(433)437-0420x88284","1947-07-05","F","Y","868-47-2138","N","238531.88","609","1943-05-03"
"1000123","Mathew","Burke","98450 Parker Turnpike","Websterburgh","PE","P8L3L5","CA","5384923468","1947-10-25","F","Y","130-86-6526","N","349944.85","780","1971-04-22"
"1000124","Gregory","Williams","80992 Ashley Knoll","Andrewshire","CT","44547","US","+1-040-422-6541x27992","1936-09-08","M","N","101-07-0725","N","389714.93","775","1976-04-05"
"1000125","Patricia","Martin","87673 Carr Ridges","Davisborough","PE","M6K 8X6","CA","001-317-036-6741","1959-09-07","F","Y","336-76-7197","N","444601.37","805","2004-04-02"
"1000126","Robert","Day","719 Matthew Vista Suite 796","West Trevor","WI","49065","US","830-076-2861x403","1964-09-11","M","N","384-13-6796","N","446549.39","717","2017-10-05"
"1000127","Timothy","Porter","7896 Anthony Isle","East Donna","MT","66510","US","143.158.5165x1856","1974-08-25","F","Y","130-47-0615","N","43417.81","317","2017-05-13"
"1000128","Tyler","Smith","30412 Foster Fords Apt. 782","Matthewville","MB","X3E 8K5","CA","001-909-641-2971","1992-03-27","F","Y","827-34-9707","N","61149.81","317","1973-07-12"
"1000129","Amy","Sanchez","59018 George Row Suite 430","West Barbara","NU","N2M2M3","CA","076.937.5701","1947-06-26","F","Y","628-04-2561","N","46001.93","341","1943-07-25"
"1000130","Gary","Graham","1196 Mark Burg Suite 003","North Curtisbury","AB","N6X 5X7","CA","612.931.5529","1998-05-28","F","Y","519-78-1954","N","381043.45","742","1972-01-13"
"1000131","Thomas","Thompson","0065 Steele Mill Suite 263","Ryanfort","BC","H9A8E6","CA","+1-897-354-5884x19841","1929-01-11","F","Y","239-98-6327","N","122775.81","587","1954-06-01"
"1000132","Jennifer","Krueger","6853 Campbell Ridges Apt. 745","Smithland","SK","C5M 3L6","CA","+1-453-408-2699x321","1939-12-23","F","Y","389-86-5936","N","43229.06","316","1998-10-29"
"1000133","Maria","Benton","9100 John Place","New Stephanie","AE","10063","US","520.760.9461x99870","1929-07-27","M","N","424-22-4761","N","131663.39","579","2007-05-28"
"1000134","Stephanie","Wilson","5053 Thomas Forest","Port Jeremyville","NY","79641","US","+1-734-562-0805x2168","1934-07-07","M","N","414-10-6602","N","483668.75","843","1946-11-07"
"1000135","Patrick","Elliott","8979 Vazquez Haven","Martinezmouth","NU","K5T 1V1","CA","+1-904-964-0172x51211","1933-02-27","F","Y","898-09-1391","N","59464.81","364","1988-01-15"
"1000136","Jacob","Black","22057 Victoria Ville","Elizabethborough","DE","08749","US","001-732-308-7529","1967-05-01","M","N","646-72-0453","Y","151680.74","546","1947-05-11"
"1000137","Mason","Lopez","47325 Ramsey Divide","Brentton","KY","45943","US","702.497.8623x984","1948-06-29","M","N","583-57-2373","N","88743.02","410","1951-04-24"
"1000138","Stephen","Edwards","8232 Sonia Ways","Lake Mario","NT","C6J8B1","CA","651-958-9537","1966-01-06","F","Y","484-52-2926","N","285903.86","693","1968-09-02"
"1000139","Stephanie","Glass","3623 Chelsea Plains","East Rebeccahaven","NL","J9V 6H7","CA","084.562.1800","1949-01-19","F","Y","872-89-9241","N","261853.13","685","2009-02-23"
"1000140","Troy","Shaw","359 Fuentes Fields Suite 309","Port Richardport","AB","J9J4M2","CA","001-843-028-5227x945","1961-07-29","U","U","744-35-9886","N","275887.21","686","1994-06-26"
"1000141","Emily","Davis","52135 John Turnpike","Martinezton","MB","N3X 9J6","CA","001-287-655-4506x551","1999-06-26","F","Y","257-41-9296","N","292662.43","729","1944-12-12"
"1000142","Sandra","Case","309 Schultz Squares","Hannahfort","OR","67973","US","+1-936-772-3886","1974-12-08","M","N","087-18-9046","N","74764.33","512","1992-09-04"
"1000143","Kelly","Hampton","8943 Johnson Turnpike","South Richard","NT","M3V 7R1","CA","(374)341-4675","1931-05-05","F","Y","841-02-2659","N","90445.1","452","1989-06-05"
"1000144","David","Kerr","16357 Lee Plains Apt. 366","Sotoshire","PA","94193","US","+1-254-707-4594x3918","1981-10-10","M","N","295-47-0957","N","67484.65","311","1938-03-21"
"1000145","Charles","Carter","82500 Lisa Radial Suite 873","East Lindafurt","BC","G8X4R6","CA","127-144-3321x19953","1952-04-05","F","Y","448-29-0808","N","18899.55","306","2014-10-03"
"1000146","Bradley","Wong","64595 Fisher Circle Apt. 149","East Edward","AE","03205","US","(271)043-9077","1927-06-13","M","N","732-87-5015","N","415933.3","826","1964-03-01"
"1000147","Anthony","Hall","0419 Kevin Path","North Danielleborough","VT","46401","US","2210601178","1932-06-25","M","N","769-23-9348","N","275472.27","686","1970-11-24"
"1000148","Robert","Freeman","40634 Benjamin Center Suite 406","Martinezborough","GA","92381","US","001-053-747-6599x129","1997-12-16","M","N","709-14-9298","N","318762.44","709","1957-06-15"
"1000149","Emily","Murray","142 Webb Brooks","Port Loretta","GA","19971","US","001-945-653-3083","1970-04-03","M","N","462-30-2913","N","112148.2","414","1971-02-20"
"1000150","Caitlin","Maxwell","522 Luke Heights Apt. 120","Nicoleport","NL","Y5N 3S4","CA","1307164715","1997-11-01","F","Y","753-64-6283","N","63392.67","463","1957-12-13"
"1000151","Ruben","Garcia","3604 Robert Bridge Apt. 900","East Josephmouth","MB","J4L 4S8","CA","001-862-486-6945x23047","1977-04-23","F","Y","383-61-1401","N","26366.47","351","1939-07-29"
"1000152","Alexis","Johnson","0002 Hernandez Cove Suite 109","Robinsonberg","AP","49953","US","621.825.0541x08351","1938-05-24","M","N","718-70-6386","N","342537.3","663","1993-05-02"
